Uso,Genero,Dias,Ida/Vuelta,Hora Cu-Cu2,Hora Cu2-Cu,Satisfaccion,Espera Cu-Cu2,Espera Cu2-Cu,Frecuencia parado
Si,Masculino,4,2,0,17,2,0,45,3
Si,Masculino,4,2,0,14,2,0,45,3
Si,Masculino,4,2,0,15,2,0,45,3
Si,Masculino,4,2,0,16,2,0,45,3
Si,Masculino,4,2,0,18,2,0,45,3
Si,Masculino,5,0,7,16,3,15,45,3
Si,Masculino,5,0,7,15,3,15,45,3
Si,Masculino,5,0,7,0,3,30,60,4
Si,Masculino,3,0,8,18,3,30,45,5
Si,Femenino,5,0,8,18,2,15,45,5
Si,Femenino,5,0,8,14,2,45,60,4
Si,Femenino,5,0,8,15,2,45,60,4
Si,Femenino,5,0,8,16,2,45,60,4
Si,Femenino,5,0,8,17,2,45,60,4
Si,Femenino,5,0,8,18,2,45,60,4
Si,Femenino,5,0,9,14,2,45,60,4
Si,Femenino,5,0,9,15,2,45,60,4
Si,Femenino,5,0,9,16,2,45,60,4
Si,Femenino,5,0,9,17,2,45,60,4
Si,Femenino,5,0,9,18,2,45,60,4
Si,Femenino,5,0,10,14,2,45,60,4
Si,Femenino,5,0,10,15,2,45,60,4
Si,Femenino,5,0,10,16,2,45,60,4
Si,Femenino,5,0,10,17,2,45,60,4
Si,Femenino,5,0,10,18,2,45,60,4
Si,Femenino,5,0,11,14,2,45,60,4
Si,Femenino,5,0,11,15,2,45,60,4
Si,Femenino,5,0,11,16,2,45,60,4
Si,Femenino,5,0,11,17,2,45,60,4
Si,Femenino,5,0,11,18,2,45,60,4
Si,Femenino,5,0,12,14,2,45,60,4
Si,Femenino,5,0,12,15,2,45,60,4
Si,Femenino,5,0,12,16,2,45,60,4
Si,Femenino,5,0,12,17,2,45,60,4
Si,Femenino,5,0,12,18,2,45,60,4
Si,Femenino,5,0,7,14,2,45,60,4
Si,Femenino,5,0,7,15,2,45,60,4
Si,Femenino,5,0,7,16,2,45,60,4
Si,Femenino,5,0,7,17,2,45,60,4
Si,Femenino,5,0,7,18,2,45,60,4
Si,Femenino,5,0,7,16,4,60,60,5
Si,Femenino,5,0,7,15,3,30,45,4
Si,Femenino,5,2,7,14,1,45,45,3
Si,Femenino,5,0,7,18,1,15,45,3
Si,bbb,5,0,7,14,3,60,60,5
Si,bbb,5,0,8,14,3,60,60,5
Si,Femenino,5,0,7,0,1,15,30,5
Si,Femenino,5,0,12,0,1,15,30,5
Si,Femenino,5,0,7,18,2,15,60,3
Si,Masculino,5,0,7,14,2,30,30,4
Si,Masculino,5,0,15,14,2,30,30,4
Si,Femenino,5,0,8,18,2,45,30,3
Si,Femenino,5,0,7,18,2,45,30,3
Si,Femenino,5,0,12,18,2,45,30,3
Si,Femenino,5,0,7,18,1,44,60,5
Si,Femenino,5,0,8,18,1,44,60,5
Si,Femenino,5,0,12,18,1,44,60,5
Si,Femenino,5,1,8,0,3,30,45,4
Si,Femenino,5,1,7,0,3,30,45,4
Si,Femenino,5,0,10,15,2,30,60,5
Si,Femenino,5,0,7,18,2,45,30,3
Si,Femenino,1,0,0,15,1,0,15,1
Si,Masculino,5,0,7,17,2,30,30,5
Si,Masculino,5,0,7,17,4,30,45,5
Si,Masculino,5,0,7,18,4,30,45,5
Si,Masculino,5,0,8,17,4,30,45,5
Si,Masculino,5,0,8,18,4,30,45,5
Si,Masculino,5,0,7,15,1,30,60,4
Si,Masculino,5,0,7,16,1,30,60,4
Si,Masculino,5,0,8,15,1,30,60,4
Si,Masculino,5,0,8,16,1,30,60,4
Si,Masculino,5,0,12,15,1,30,60,4
Si,Masculino,5,0,12,16,1,30,60,4
Si,Masculino,5,0,7,18,2,30,45,4
Si,Femenino,5,0,8,17,2,30,45,5
Si,Femenino,5,0,7,17,2,30,45,5
Si,Masculino,5,0,8,16,3,30,30,5
Si,Masculino,5,0,7,16,3,30,30,5
Si,Femenino,5,0,7,16,2,15,45,4
Si,Masculino,5,0,7,16,1,44,60,4
Si,Masculino,5,0,7,12,2,15,60,5
Si,Masculino,5,0,7,13,2,15,60,5
Si,Femenino,5,0,7,16,4,30,60,4
Si,Masculino,5,0,7,14,3,44,60,5
Si,Masculino,5,0,15,14,3,44,60,5
Si,Masculino,5,0,14,14,3,44,60,5
Si,Masculino,5,0,13,14,3,44,60,5
Si,S/G,5,0,7,19,2,15,60,4
Si,S/G,5,0,7,18,2,15,60,4
Si,Masculino,5,0,7,18,2,15,30,3
Si,Masculino,5,0,7,17,2,15,30,3
Si,Masculino,5,0,7,17,3,30,60,4
Si,Masculino,5,0,7,16,3,30,60,4
Si,Masculino,5,0,7,15,3,30,60,4
Si,Masculino,5,0,7,18,2,30,29,4
Si,Masculino,5,0,7,10,3,60,60,5
Si,Masculino,5,0,7,11,3,60,60,5
Si,Masculino,5,0,8,10,3,60,60,5
Si,Masculino,5,0,8,11,3,60,60,5
Si,Masculino,5,0,10,10,3,60,60,5
Si,Masculino,5,0,10,11,3,60,60,5
Si,Masculino,5,0,9,10,3,60,60,5
Si,Masculino,5,0,9,11,3,60,60,5
Si,Masculino,5,0,11,10,3,60,60,5
Si,Masculino,5,0,11,11,3,60,60,5
Si,Masculino,5,0,12,10,3,60,60,5
Si,Masculino,5,0,12,11,3,60,60,5
Si,Masculino,5,0,13,10,3,60,60,5
Si,Masculino,5,0,13,11,3,60,60,5
